Row Labels,Sum of building_approval,Sum of Unemplotment rate
Alexander Heights - Koondoola,204,0.104970455
Alkimos - Eglinton,568,0.062387792
Applecross - Ardross,89,0.062757018
Armadale - Wungong - Brookdale,608,0.131007563
Balcatta - Hamersley,76,0.068064182
Baldivis,700,0.078088508
Balga - Mirrabooka,232,0.128293496
Ballajura,18,0.089816762
Banjup,375,0.06449606
Bassendean - Eden Hill - Ashfield,147,0.07897749
Bateman,4,0.081039755
Bayswater - Embleton - Bedford,199,0.070717611
Beckenham - Kenwick - Langford,239,0.109651933
Beechboro,254,0.086256342
Beeliar - Wattleup,114,0.071832825
Belmont - Ascot - Redcliffe,76,0.080634323
Bentley - Wilson - St James,120,0.13611691
Bertram - Wellard (West),482,0.095881427
Bicton - Palmyra,41,0.06424581
Booragoon,299,0.069537786
Bull Creek,19,0.082038703
Bullsbrook,45,0.065176203
Butler - Merriwa - Ridgewood,8,0.103451458
Byford,375,0.071377925
Calista,44,0.142460685
Camillo - Champion Lakes,22,0.111692193
Canning Vale - East,67,0.081438921
Canning Vale - West,8,0.084844218
Cannington - Queens Park,323,0.110237046
Carramar,49,0.079995611
Casuarina - Wandi,278,0.06863711
City Beach,22,0.053467272
Claremont (WA),264,0.061197573
Clarkson,219,0.100434234
Como,44,0.068224889
Coogee,110,0.062382248
Coolbellup,76,0.096528768
Cooloongup,4,0.136624869
Cottesloe,64,0.046652609
Craigie - Beldon,100,0.07642487
Currambine - Kinross,1,0.077769442
Dawesville - Bouvard,136,0.106252025
Dianella,100,0.073538961
Duncraig,37,0.059397163
East Fremantle,24,0.056316591
East Victoria Park - Carlisle,103,0.084192253
Ellenbrook,877,0.078598686
Falcon - Wannanup,105,0.104273944
Floreat,39,0.051307351
Forrestdale - Harrisdale - Piara Waters,623,0.071190712
Forrestfield - Wattle Grove,64,0.074893875
Fremantle,389,0.070613866
Fremantle - South,96,0.076253908
Girrawheen,126,0.127033308
Glen Forrest - Darlington,7,0.058190844
Gosnells,133,0.119527682
Greenfields,20,0.129065834
Greenwood - Warwick,25,0.069402879
Halls Head - Erskine,195,0.095284993
Hamilton Hill,143,0.097153096
Hazelmere - Guildford,13,0.069851284
Heathridge - Connolly,20,0.071113374
Helena Valley - Koongamia,67,0.071253929
High Wycombe,25,0.079524398
Hillarys,47,0.064805415
Huntingdale - Southern River,179,0.080581372
Iluka - Burns Beach,75,0.062243902
Innaloo - Doubleview,265,0.06120708
Joondalup - Edgewater,21,0.090779775
Kalamunda - Maida Vale - Gooseberry Hill,66,0.064132052
Karrinyup - Gwelup - Carine,146,0.05262134
Kelmscott,29,0.099739635
Kingsley,33,0.061500073
Leeming,16,0.061551155
Lesmurdie - Bickley - Carmel,28,0.06092739
Lockridge - Kiara,184,0.081937363
Maddington - Orange Grove - Martin,316,0.117415288
Madeley - Darch - Landsdale,343,0.065986542
Mandurah,111,0.140814675
Mandurah - East,66,0.102803738
Mandurah - North,333,0.095282797
Mandurah - South,123,0.122386537
Manning - Waterford,49,0.090774635
Marangaroo,7,0.09544592
Maylands,117,0.076581286
Melville,70,0.051634066
Middle Swan - Herne Hill,40,0.096520763
Midland - Guildford,206,0.108236224
Mindarie - Quinns Rocks - Jindalee,171,0.085597826
Morley,150,0.087417573
Mosman Park - Peppermint Grove,40,0.05805429
Mount Hawthorn - Leederville,105,0.056486357
Mount Lawley - Inglewood,41,0.059843519
Mount Nasura - Mount Richon - Bedfordale,44,0.068114511
Mullaloo - Kallaroo,33,0.061075196
Mundaring,48,0.063572304
Mundijong,135,0.067930029
Murdoch - Kardinya,25,0.086928731
Nedlands - Dalkeith - Crawley,61,0.089128193
Nollamara - Westminster,315,0.096546641
Noranda,19,0.075531655
North Coogee,129,0.051920341
North Perth,110,0.056791104
Ocean Reef,15,0.068965517
Padbury,21,0.066681485
Parkwood - Ferndale - Lynwood,27,0.091072664
Parmelia - Orelia,94,0.128021303
Perth City,703,0.080855998
Pinjarra,86,0.093874502
Port Kennedy,13,0.105934718
Riverton - Shelley - Rossmoyne,70,0.087751371
Rivervale - Kewdale - Cloverdale,474,0.092207893
Rockingham,31,0.106438515
Roleystone,25,0.064312072
Safety Bay - Shoalwater,30,0.102949682
Scarborough,155,0.059557513
Serpentine - Jarrahdale,26,0.077503775
Seville Grove,103,0.091317951
Singleton - Golden Bay - Secret Harbour,222,0.087338804
Sorrento - Marmion,42,0.057959508
South Lake - Cockburn Central,89,0.087065456
South Perth - Kensington,208,0.063992042
Spearwood,203,0.078663134
Stirling - Osborne Park,315,0.071062656
Stratton - Jane Brook,23,0.078804348
Subiaco - Shenton Park,230,0.057942633
Success - Hammond Park,184,0.071506221
Swan View - Greenmount - Midvale,46,0.09460371
Swanbourne - Mount Claremont,43,0.049391553
Tapping - Ashby - Sinagra,36,0.067284391
The Vines,218,0.066372495
Thornlie,74,0.09109346
Trigg - North Beach - Watermans Bay,65,0.057128284
Tuart Hill - Joondanna,103,0.072294372
Two Rocks,104,0.11419985
Victoria Park - Lathlain - Burswood,74,0.080234834
Waikiki,54,0.10024855
Wanneroo,208,0.07337921
Warnbro,5,0.122286822
Wembley - West Leederville - Glendalough,155,0.068080808
Wembley Downs - Churchlands - Woodlands,135,0.057933042
Willagee,65,0.080521817
Willetton,35,0.0930082
Winthrop,6,0.067640521
Woodvale,51,0.063506931
Yanchep,231,0.092210628
Yangebup,17,0.08286206
Yokine - Coolbinia - Menora,189,0.067032967
Grand Total,19953,12.11400341
