,SA2 Name,Unoccupied Rate,Median Income,Median Rent,Median Mortgage,Purchasing Affordability Index,Rental Affordability Index,Building Approval,Unemplotment Rate
67,Alexander Heights - Koondoola,0.053028518,1589.375,354.4172932,404.625029,117.8405847,134.5342084,204,0.104970455
77,Alkimos - Eglinton,0.126658625,2130.120482,365.5448718,523.7917808,122.001942,174.8174284,568,0.062387792
130,Applecross - Ardross,0.119067444,2755.291005,489.3665158,691.0230254,119.6179101,168.9096566,89,0.062757018
80,Armadale - Wungong - Brookdale,0.112954465,1325.061275,305.8064516,359.6356905,110.5336297,129.9901883,608,0.131007563
55,Balcatta - Hamersley,0.095265098,1828.586498,369.0843621,454.8102888,120.6164335,148.6315882,76,0.068064182
140,Baldivis,0.07516367,2116.777531,390.625,490.8074076,129.3854269,162.5685144,700,0.078088508
56,Balga - Mirrabooka,0.087117931,1285.845588,337.7413127,390.861688,98.6931409,114.2157213,232,0.128293496
31,Ballajura,0.059429958,1798.106061,381.0393258,421.9830953,127.8325658,141.568542,18,0.089816762
113,Banjup,0.078210439,2366.296296,444.5238095,501.369863,141.5898604,159.6964828,375,0.06449606
22,Bassendean - Eden Hill - Ashfield,0.096868598,1966.666667,351.6939252,448.107495,131.6648364,167.7595084,147,0.07897749
131,Bateman,0.073135409,2414.285714,455.6818182,513.5688536,141.0299143,158.9454934,4,0.081039755
23,Bayswater - Embleton - Bedford,0.101537256,2201.349432,366.6182171,491.0836396,134.479094,180.1342101,199,0.070717611
97,Beckenham - Kenwick - Langford,0.093691275,1472.54522,343.221831,397.2530164,111.2045844,128.7108004,239,0.109651933
32,Beechboro,0.069574734,1774.408284,369.8571429,462.3462962,115.1350167,143.926512,254,0.086256342
122,Beeliar - Wattleup,0.090793651,2197.452229,405.8641975,500.1411374,131.8099271,162.4276477,114,0.071832825
87,Belmont - Ascot - Redcliffe,0.116990365,1951.502732,366.1509901,468.8049126,124.8815454,159.8932778,76,0.080634323
91,Bentley - Wilson - St James,0.132728304,1725.478469,342.1328671,468.1849315,110.5639045,151.2989807,120,0.13611691
126,Bertram - Wellard (West),0.098739088,1988.505747,372.9803493,471.9961268,126.3891143,159.9418643,482,0.095881427
132,Bicton - Palmyra,0.10474607,2290.983607,375.4120879,500.9493469,137.1985184,183.0775045,41,0.06424581
133,Booragoon,0.102112117,2506.363636,419.8717949,583.0136986,128.9693694,179.0806384,299,0.069537786
134,Bull Creek,0.087181143,2138.636364,432.3529412,488.2191781,131.414524,148.3951763,19,0.082038703
33,Bullsbrook,0.07012987,1927.98913,362.5,465.8290033,124.1650337,159.5577211,45,0.065176203
68,Butler - Merriwa - Ridgewood,0.082140082,1669.599515,362.1757075,461.106229,108.6256968,138.2974738,8,0.103451458
107,Byford,0.084949374,2000,400,481.4805058,124.6156371,150,375,0.071377925
127,Calista,0.091839807,1354.166667,303.2303371,348.3561644,116.6191506,133.9740621,44,0.142460685
81,Camillo - Champion Lakes,0.094827586,1465.740741,313.452381,367.1731009,119.7588334,140.2835802,22,0.111692193
98,Canning Vale - East,0.065980219,2210.280374,446.851145,488.2780101,135.8005272,148.39038,67,0.081438921
92,Canning Vale - West,0.063468415,2341.791045,489.6103896,488.151391,143.9179169,143.4890534,8,0.084844218
93,Cannington - Queens Park,0.125255276,1621.929825,371.1666667,447.2609912,108.7908306,131.0944627,323,0.110237046
69,Carramar,0.059729917,2063.458856,401.6216216,487.205774,127.0587686,154.1345445,49,0.079995611
