,SA2 Name,SA3,median_income,median_rent,median_mortgage_repayment,qualyfing_income(mortgage),affordability_index(mortgage),qualyfing_income(rent),affordability_index(rent)
0,Dawesville - Bouvard,Mandurah,1584.677419,358.9552239,467.8422359,1559.47412,101.6161409,1196.517413,132.4408155
1,Falcon - Wannanup,,1486.918605,342.4603175,443.090411,1476.968037,100.6737159,1141.534392,130.2561373
2,Greenfields,,1192.934783,306.1197917,359.5535261,1198.511754,99.53467531,1020.399306,116.9086235
3,Halls Head - Erskine,,1627.840909,360.3744939,454.7945205,1515.981735,107.3786624,1201.248313,135.5124408
4,Mandurah,,1189.174107,290.3538813,355.8462218,1186.154073,100.2546073,967.8462709,122.8680776
5,Mandurah - East,,1476.485149,340.3571429,454.322154,1514.40718,97.49591576,1134.52381,130.1413982
6,Mandurah - North,,1882.899628,371.5460526,469.5901392,1565.300464,120.2899808,1238.486842,152.0322675
7,Mandurah - South,,1272.465438,303.422619,389.2316855,1297.438952,98.07516847,1011.40873,125.8111978
8,Pinjarra,,1475.806452,303.3602151,429.2054795,1430.684932,103.1538405,1011.200717,145.9459459
9,City Beach,Cottesloe - Claremont,3754.77707,774.3243243,838.9804058,2796.601353,134.2621488,2581.081081,145.4730383
10,Claremont (WA),,2897.727273,464.0718563,636.5252255,2121.750752,136.5724636,1546.906188,187.3240469
11,Cottesloe,,3746.710526,580.2197802,902.739726,3009.13242,124.511321,1934.065934,193.7219647
12,Floreat,,3640.374332,619.8412698,770.7191781,2569.063927,141.7004183,2066.137566,176.1922532
13,Mosman Park - Peppermint Grove,,3262.195122,343.452381,715.6517897,2385.505966,136.7506587,1144.84127,284.9473729
14,Nedlands - Dalkeith - Crawley,,3561.349693,484.9673203,863.3213684,2877.737895,123.7551794,1616.557734,220.3045161
15,Swanbourne - Mount Claremont,,3513.888889,533.7837838,782.3112991,2607.70433,134.7502801,1779.279279,197.4894515
16,Mount Hawthorn - Leederville,Perth City,2921.455939,452.8,579.2979452,1930.993151,151.2929208,1509.333333,193.5593599
17,Mount Lawley - Inglewood,,2591.331269,366.6666667,505.1311818,1683.770606,153.9004933,1222.222222,212.0180129
18,North Perth,,2747.26776,430.1470588,578.2191781,1927.39726,142.5377018,1433.823529,191.6043155
19,Perth City,,2388.242894,429.4761273,495.6187934,1652.062645,144.5612793,1431.587091,166.8248414
20,Subiaco - Shenton Park,,2849.693252,433.3333333,618.0224159,2060.07472,138.3296064,1444.444444,197.2864559
21,Wembley - West Leederville - Glendalough,,2468.317972,323.6213235,496.2234757,1654.078252,149.226191,1078.737745,228.8153894
22,Bassendean - Eden Hill - Ashfield,Bayswater - Bassendean,1966.666667,351.6939252,448.107495,1493.69165,131.6648364,1172.313084,167.7595084
23,Bayswater - Embleton - Bedford,,2201.349432,366.6182171,491.0836396,1636.945465,134.479094,1222.060724,180.1342101
24,Maylands,,2134.393064,317.9225352,463.049494,1543.498313,138.2828245,1059.741784,201.4068989
25,Morley,,1664.78979,390.776699,450.4510525,1501.503508,110.8748518,1302.588997,127.8062224
26,Noranda,,1846.804511,387.0967742,454.0273973,1513.424658,122.0281764,1290.322581,143.1273496
27,Glen Forrest - Darlington,Mundaring,2235.930736,421.1206897,491.9915701,1639.9719,136.339576,1403.735632,159.2843185
28,Helena Valley - Koongamia,,2057.591623,341.6666667,473.7647615,1579.215872,130.2919797,1138.888889,180.6665815
29,Mundaring,,2066.853933,402.0833333,477.8670893,1592.890298,129.7549452,1340.277778,154.2108634
30,Swan View - Greenmount - Midvale,,1659.375,330.4104478,411.008467,1370.028223,121.1197676,1101.368159,150.6648786
31,Ballajura,,1798.106061,381.0393258,421.9830953,1406.610318,127.8325658,1270.131086,141.568542
32,Beechboro,,1774.408284,369.8571429,462.3462962,1541.154321,115.1350167,1232.857143,143.926512
33,Bullsbrook,Swan,1927.98913,362.5,465.8290033,1552.763344,124.1650337,1208.333333,159.5577211
34,Ellenbrook,,2004.231771,392.7631579,489.0866856,1630.288952,122.9372111,1309.210526,153.0870498
35,Hazelmere - Guildford,,2057.926829,395.8333333,471.4321295,1571.440432,130.9579916,1319.444444,155.9691913
36,Lockridge - Kiara,,1832.055215,338.7019231,461.4959389,1538.319796,119.0945614,1129.00641,162.2714626
37,Middle Swan - Herne Hill,,1639.423077,356.25,408.9560699,1363.1869,120.2639988,1187.5,138.0566802
38,Midland - Guildford,,1601.30719,328.4156977,405.1141553,1350.380518,118.5819233,1094.718992,146.2756379
39,Stratton - Jane Brook,,1869.230769,363.6904762,422.0547945,1406.849315,132.866452,1212.301587,154.1885937
40,The Vines,,2231.578947,412.0098039,537.6296951,1792.098984,124.523197,1373.366013,162.4897461
41,Craigie - Beldon,,1910.310734,381.1422414,447.5342466,1491.780822,128.0557242,1270.474138,150.3620324
42,Currambine - Kinross,,2250,420.7880435,471.1415525,1570.471842,143.2690444,1402.626812,160.4133032
43,Duncraig,,2437.269373,471.4646465,508.8328767,1696.109589,143.6976354,1571.548822,155.0870924
44,Greenwood - Warwick,,1955.97166,410.2739726,474.8702095,1582.900698,123.5688165,1367.579909,143.024305
45,Heathridge - Connolly,,2081.117021,395.1030928,465.8798736,1552.932912,134.0120365,1317.010309,158.0182787
46,Hillarys,,2607.692308,514.453125,558.9994044,1863.331348,139.9478579,1714.84375,152.065884
47,Iluka - Burns Beach,,3047.393365,658.3333333,660.9534247,2203.178082,138.3180683,2194.444444,138.8685584
48,Joondalup - Edgewater,Joondalup,2037.337662,394.8648649,456.6846802,1522.282267,133.8344213,1316.216216,154.787461
49,Kingsley,,2224.456522,432.2580645,468.8161752,1562.720584,142.345122,1440.860215,154.3839228
50,Mullaloo - Kallaroo,,2305.486284,464.3884892,514.2676502,1714.225501,134.4914239,1547.961631,148.9369141
51,Ocean Reef,,2489.215686,533.8383838,545.2476291,1817.492097,136.9588176,1779.461279,139.8859146
52,Padbury,,2056.990881,405.3899083,470.1786024,1567.262008,131.2474156,1351.299694,152.2231442
53,Sorrento - Marmion,,2725.840336,512.9213483,575.7850369,1919.283456,142.0238541,1709.737828,159.430311
54,Woodvale,,2432.601881,498.0314961,492.8767123,1642.922374,148.0655397,1660.104987,146.5330145
55,Balcatta - Hamersley,,1828.586498,369.0843621,454.8102888,1516.034296,120.6164335,1230.281207,148.6315882
56,Balga - Mirrabooka,,1285.845588,337.7413127,390.861688,1302.872293,98.6931409,1125.804376,114.2157213
57,Dianella,,1967.938312,361.0521236,477.3972603,1591.324201,123.6667117,1203.507079,163.5169703
58,Innaloo - Doubleview,,2396.044625,411.8473896,526.4970646,1754.990215,136.5275204,1372.824632,174.5339185
59,Karrinyup - Gwelup - Carine,,2552.801724,459.8837209,563.6469796,1878.823265,135.8723714,1532.945736,166.5291643
60,Nollamara - Westminster,,1602.618243,364.7900763,436.2866175,1454.288725,110.1994546,1215.966921,131.7978487
61,Scarborough,,2414.078675,413.8605442,501.585448,1671.951493,144.3868847,1379.535147,174.9921834
62,Stirling - Osborne Park,Stirling,2153.645833,335.2272727,488.6087576,1628.695859,132.2313078,1117.424242,192.7330508
63,Trigg - North Beach - Watermans Bay,,2505.357143,401.5625,629.0410959,2096.803653,119.484585,1338.541667,187.1706504
64,Tuart Hill - Joondanna,,2000,345.78125,449.4555673,1498.185224,133.4948421,1152.604167,173.5201085
65,Wembley Downs - Churchlands - Woodlands,,2641.638225,424.6710526,625.8777009,2086.259003,126.6208185,1415.570175,186.6130179
