,SA2 Name,2011_entire,2016_entire,2011_aus,2016_aus,2016-2011_change_entire,2016-2011_change_aus,2011_overseas,2016_overseas,2016-2011_change_overseas,2011_overseas_percentage,2016_overseas_percentage,2016-2011_overseas_increase_percentage
0,Dawesville - Bouvard,5277,7088,3714,4779,1811,1065,1563,2309,746,0.296191018,0.325761851,0.477287268
1,Falcon - Wannanup,7028,8782,5036,6070,1754,1034,1992,2712,720,0.283437678,0.308813482,0.361445783
2,Greenfields,9693,9855,7072,6940,162,-132,2621,2915,294,0.270401321,0.29578894,0.112170927
3,Halls Head - Erskine,16264,18529,10879,11886,2265,1007,5385,6643,1258,0.331099361,0.358519078,0.233611885
4,Mandurah,8558,9090,5631,5669,532,38,2927,3421,494,0.342019163,0.376347635,0.168773488
5,Mandurah - East,4642,5821,3353,4245,1179,892,1289,1576,287,0.277682034,0.270743858,0.22265322
6,Mandurah - North,12002,17782,7754,11165,5780,3411,4248,6617,2369,0.35394101,0.372117872,0.5576742
7,Mandurah - South,8877,10171,6148,6721,1294,573,2729,3450,721,0.307423679,0.339199685,0.26419934
8,Pinjarra,7711,9628,5867,7029,1917,1162,1844,2599,755,0.239138892,0.269941836,0.409436009
9,City Beach,6293,6609,4132,4344,316,212,2161,2265,104,0.343397426,0.34271448,0.048125868
10,Claremont (WA),7532,8148,4563,4961,616,398,2969,3187,218,0.394184811,0.39113893,0.073425396
11,Cottesloe,7486,7375,4904,5042,-111,138,2582,2333,-249,0.3449105,0.316338983,-0.096436871
12,Floreat,7152,7899,5183,5584,747,401,1969,2315,346,0.275307606,0.293075073,0.175723718
13,Mosman Park - Peppermint Grove,10112,10395,6220,6321,283,101,3892,4074,182,0.384889241,0.391919192,0.04676259
14,Nedlands - Dalkeith - Crawley,18736,18534,10193,10299,-202,106,8543,8235,-308,0.455967122,0.44431855,-0.036052909
15,Swanbourne - Mount Claremont,8065,8681,5408,5750,616,342,2657,2931,274,0.329448233,0.337633913,0.103123824
17,Mount Hawthorn - Leederville,10119,10708,6339,7067,589,728,3780,3641,-139,0.373554699,0.340026149,-0.036772487
18,Mount Lawley - Inglewood,16325,16517,9925,10124,192,199,6400,6393,-7,0.392036753,0.387055761,-0.00109375
19,North Perth,8465,8821,5085,5458,356,373,3380,3363,-17,0.399291199,0.381249291,-0.005029586
20,Perth City,33924,31293,12009,10752,-2631,-1257,21915,20541,-1374,0.64600283,0.656408782,-0.062696783
21,Subiaco - Shenton Park,15715,16465,9082,9401,750,319,6633,7064,431,0.422080815,0.429031278,0.06497814
22,Wembley - West Leederville - Glendalough,16908,17849,9436,9696,941,260,7472,8153,681,0.441920984,0.45677629,0.091140257
23,Bassendean - Eden Hill - Ashfield,14228,15092,9452,9809,864,357,4776,5283,507,0.335676132,0.350053008,0.106155779
24,Bayswater - Embleton - Bedford,21089,22958,12943,13964,1869,1021,8146,8994,848,0.386267723,0.391758864,0.104100172
25,Maylands,12249,12714,5899,6265,465,366,6350,6449,99,0.518409666,0.507236118,0.015590551
26,Morley,20029,21712,10873,10910,1683,37,9156,10802,1646,0.457137151,0.497512896,0.179772827
27,Noranda,8043,7979,4469,4318,-64,-151,3574,3661,87,0.444361557,0.458829427,0.024342473
28,Chidlow,3969,4715,1881,3421,746,1540,2088,1294,-794,0.526077098,0.274443266,-0.380268199
29,Glen Forrest - Darlington,6880,7054,4521,4772,174,251,2359,2282,-77,0.342877907,0.323504395,-0.03264095
30,Helena Valley - Koongamia,4568,5314,3371,3831,746,460,1197,1483,286,0.26204028,0.279074144,0.23893066
32,Mundaring,12338,12865,8779,9099,527,320,3559,3766,207,0.288458421,0.292732219,0.058162405
33,Swan View - Greenmount - Midvale,11827,12075,8340,8298,248,-42,3487,3777,290,0.294833855,0.312795031,0.083166045
35,Ballajura,18937,18745,11790,11122,-192,-668,7147,7623,476,0.377409305,0.406668445,0.066601371
36,Beechboro,15099,18097,8547,9560,2998,1013,6552,8537,1985,0.433936022,0.471735647,0.302960928
37,Bullsbrook,4283,5185,2989,3447,902,458,1294,1738,444,0.302124679,0.335197686,0.343122102
38,Ellenbrook,22946,36114,15167,21798,13168,6631,7779,14316,6537,0.339013336,0.396411364,0.840339375
39,Gidgegannup,2460,2743,1784,1947,283,163,676,796,120,0.274796748,0.290193219,0.177514793
40,Hazelmere - Guildford,3604,4184,2403,2738,580,335,1201,1446,245,0.333240844,0.345602294,0.203996669
41,Lockridge - Kiara,8032,10577,5167,6024,2545,857,2865,4553,1688,0.356698207,0.430462324,0.589179756
44,Middle Swan - Herne Hill,5249,5414,3385,3505,165,120,1864,1909,45,0.35511526,0.352604359,0.024141631
45,Midland - Guildford,9553,10674,5722,5973,1121,251,3831,4701,870,0.401025856,0.440415964,0.227094753
46,Stratton - Jane Brook,6563,6886,4903,5010,323,107,1660,1876,216,0.25293311,0.272436828,0.130120482
47,The Vines,5507,9904,3512,6012,4397,2500,1995,3892,1897,0.362266207,0.392972536,0.950877193
49,Craigie - Beldon,9422,9801,5870,6096,379,226,3552,3705,153,0.376990023,0.378022651,0.043074324
50,Currambine - Kinross,13753,13798,6814,6559,45,-255,6939,7239,300,0.504544463,0.524641252,0.043233895
51,Duncraig,14852,15268,9567,9709,416,142,5285,5559,274,0.355844331,0.364094839,0.051844844
52,Greenwood - Warwick,13208,13347,8828,8830,139,2,4380,4517,137,0.331617202,0.338428111,0.031278539
53,Heathridge - Connolly,10327,10306,5883,5675,-21,-208,4444,4631,187,0.430328266,0.449349893,0.042079208
54,Hillarys,10562,10808,6337,6574,246,237,4225,4234,9,0.400018936,0.391746854,0.002130178
55,Iluka - Burns Beach,6076,8644,2734,3882,2568,1148,3342,4762,1420,0.550032916,0.55090236,0.424895272
56,Joondalup - Edgewater,13873,13602,6719,6570,-271,-149,7154,7032,-122,0.515677936,0.516982797,-0.017053397
57,Kingsley,12993,13059,8489,8391,66,-98,4504,4668,164,0.346648195,0.357454629,0.036412078
58,Mullaloo - Kallaroo,10783,11166,5890,6262,383,372,4893,4904,11,0.453769823,0.439190399,0.00224811
59,Ocean Reef,7954,7840,3806,3993,-114,187,4148,3847,-301,0.521498617,0.490688776,-0.072565092
60,Padbury,8232,8183,5245,5139,-49,-106,2987,3044,57,0.362852284,0.371990712,0.019082692
61,Sorrento - Marmion,9375,9625,6254,6464,250,210,3121,3161,40,0.332906667,0.328415584,0.012816405
62,Woodvale,9046,9276,5566,5510,230,-56,3480,3766,286,0.38470042,0.405993963,0.082183908
63,Balcatta - Hamersley,14780,15364,8942,8924,584,-18,5838,6440,602,0.394993234,0.419161677,0.103117506
