,SA2 Name,building_approval
0,Dawesville - Bouvard,136.0
1,Falcon - Wannanup,105.0
2,Greenfields,20.0
3,Halls Head - Erskine,195.0
4,Mandurah,111.0
5,Mandurah - East,66.0
6,Mandurah - North,333.0
7,Mandurah - South,123.0
8,Pinjarra,86.0
9,City Beach,22.0
10,Claremont (WA),264.0
11,Cottesloe,64.0
12,Floreat,39.0
13,Mosman Park - Peppermint Grove,40.0
14,Nedlands - Dalkeith - Crawley,61.0
15,Swanbourne - Mount Claremont,43.0
16,Kings Park (WA),0.0
17,Mount Hawthorn - Leederville,105.0
18,Mount Lawley - Inglewood,41.0
19,North Perth,110.0
20,Perth City,703.0
21,Subiaco - Shenton Park,230.0
22,Wembley - West Leederville - Glendalough,155.0
23,Bassendean - Eden Hill - Ashfield,147.0
24,Bayswater - Embleton - Bedford,199.0
25,Maylands,117.0
26,Morley,150.0
27,Noranda,19.0
28,Chidlow,15.0
29,Glen Forrest - Darlington,7.0
30,Helena Valley - Koongamia,67.0
31,Malmalling - Reservoir,0.0
32,Mundaring,48.0
33,Swan View - Greenmount - Midvale,46.0
34,Avon Valley National Park,0.0
35,Ballajura,18.0
36,Beechboro,254.0
37,Bullsbrook,45.0
38,Ellenbrook,877.0
39,Gidgegannup,14.0
40,Hazelmere - Guildford,13.0
41,Lockridge - Kiara,184.0
42,Malaga,0.0
43,Melaleuca - Lexia,0.0
44,Middle Swan - Herne Hill,40.0
45,Midland - Guildford,206.0
46,Stratton - Jane Brook,23.0
47,The Vines,218.0
48,Walyunga National Park,0.0
49,Craigie - Beldon,100.0
50,Currambine - Kinross,1.0
51,Duncraig,37.0
52,Greenwood - Warwick,25.0
53,Heathridge - Connolly,20.0
54,Hillarys,47.0
55,Iluka - Burns Beach,75.0
56,Joondalup - Edgewater,21.0
57,Kingsley,33.0
58,Mullaloo - Kallaroo,33.0
59,Ocean Reef,15.0
60,Padbury,21.0
61,Sorrento - Marmion,42.0
62,Woodvale,51.0
63,Balcatta - Hamersley,76.0
64,Balga - Mirrabooka,232.0
65,Dianella,100.0
66,Herdsman,0.0
67,Innaloo - Doubleview,265.0
68,Karrinyup - Gwelup - Carine,146.0
69,Nollamara - Westminster,315.0
70,Osborne Park Industrial,155.0
71,Scarborough,315.0
72,Stirling - Osborne Park,65.0
73,Trigg - North Beach - Watermans Bay,103.0
74,Tuart Hill - Joondanna,135.0
75,Wembley Downs - Churchlands - Woodlands,189.0
76,Yokine - Coolbinia - Menora,204.0
77,Alexander Heights - Koondoola,8.0
78,Butler - Merriwa - Ridgewood,49.0
79,Carramar,219.0
80,Clarkson,126.0
81,Girrawheen,53.0
82,Madeley - Darch - Landsdale,343.0
83,Marangaroo,7.0
84,Mindarie - Quinns Rocks - Jindalee,171.0
85,Neerabup National Park,0.0
86,Tapping - Ashby - Sinagra,36.0
87,Wanneroo,208.0
88,Alkimos - Eglinton,568.0
89,Carabooda - Pinjar,2.0
90,Two Rocks,104.0
91,Yanchep,231.0
92,Armadale - Wungong - Brookdale,608.0
93,Ashendon - Lesley,0.0
94,Camillo - Champion Lakes,22.0
95,Forrestdale - Harrisdale - Piara Waters,623.0
96,Kelmscott,29.0
97,Mount Nasura - Mount Richon - Bedfordale,44.0
98,Roleystone,25.0
99,Seville Grove,103.0
100,Belmont - Ascot - Redcliffe,76.0
101,East Victoria Park - Carlisle,103.0
102,Kewdale Commercial,0.0
103,Perth Airport,0.0
104,Rivervale - Kewdale - Cloverdale,474.0
105,Victoria Park - Lathlain - Burswood,74.0
106,Bentley - Wilson - St James,120.0
107,Canning Vale - West,8.0
108,Canning Vale Commercial,0.0
109,Cannington - Queens Park,323.0
110,Parkwood - Ferndale - Lynwood,27.0
111,Riverton - Shelley - Rossmoyne,70.0
112,Welshpool,1.0
113,Willetton,35.0
114,Beckenham - Kenwick - Langford,239.0
115,Canning Vale - East,67.0
116,Gosnells,133.0
117,Huntingdale - Southern River,179.0
118,Maddington - Orange Grove - Martin,316.0
119,Thornlie,74.0
120,Forrestfield - Wattle Grove,64.0
121,High Wycombe,25.0
122,Kalamunda - Maida Vale - Gooseberry Hill,66.0
123,Lesmurdie - Bickley - Carmel,28.0
124,Byford,375.0
125,Mundijong,135.0
126,Serpentine - Jarrahdale,26.0
127,Como,44.0
128,Manning - Waterford,49.0
129,South Perth - Kensington,208.0
130,Banjup,375.0
131,Bibra Industrial,0.0
132,Bibra Lake,0.0
133,Coogee,110.0
134,Coolbellup,76.0
135,Hamilton Hill,143.0
136,Henderson,0.0
137,North Coogee,129.0
138,South Lake - Cockburn Central,89.0
139,Spearwood,203.0
140,Success - Hammond Park,184.0
141,Yangebup,17.0
142,Beeliar - Wattleup,114.0
143,Jandakot,3.0
144,East Fremantle,24.0
145,Fremantle,389.0
146,Fremantle - South,96.0
147,O'Connor (WA),0.0
148,Bertram - Wellard (West),482.0
149,Calista,44.0
150,Hope Valley - Postans,1.0
151,Kwinana Industrial,12.0
152,Parmelia - Orelia,94.0
153,Casuarina - Wandi,278.0
154,Applecross - Ardross,89.0
155,Bateman,4.0
156,Bicton - Palmyra,41.0
157,Booragoon,299.0
158,Bull Creek,19.0
159,Leeming,16.0
160,Melville,70.0
161,Murdoch - Kardinya,25.0
162,Willagee,65.0
163,Winthrop,6.0
164,Baldivis,700.0
165,Cooloongup,4.0
166,Port Kennedy,13.0
167,Rockingham,31.0
168,Rockingham Lakes,0.0
169,Safety Bay - Shoalwater,30.0
170,Singleton - Golden Bay - Secret Harbour,222.0
171,Waikiki,54.0
172,Warnbro,5.0
