,SA2 Name,1-149(75),150-299(225),300-399(350),400-499(450),500-649(575),650-799(725),800-999(900),"1,000-1,249(1,125)","1,250-1,499(1,375)","1,500-1,749(1,625)","1,750-1,999(1875)","2,000-2,499(2,250)","2,500-2,999(2,750)","3,000-3,499(3,250)","3,500-3,999(3,750)","4,000-4,499(4,250)","4,500-4,999(4,750)","5,000-5,999 (5,500)","6,000-7,999(7000)","8,000 or more(8000)",Total
0,Dawesville - Bouvard,17.0,12.0,16.0,54.0,64.0,218.0,117.0,167.0,116.0,93.0,98.0,207.0,160.0,98.0,69.0,43.0,35.0,28.0,12.0,0.0,1624.0
1,Falcon - Wannanup,11.0,29.0,26.0,104.0,83.0,238.0,157.0,201.0,172.0,117.0,119.0,258.0,149.0,93.0,104.0,57.0,49.0,34.0,22.0,0.0,2023.0
2,Greenfields,14.0,31.0,31.0,114.0,100.0,391.0,196.0,230.0,167.0,139.0,138.0,231.0,125.0,59.0,46.0,34.0,28.0,22.0,9.0,3.0,2108.0
3,Halls Head - Erskine,32.0,42.0,53.0,139.0,144.0,482.0,313.0,408.0,341.0,264.0,254.0,502.0,357.0,221.0,212.0,149.0,130.0,73.0,53.0,8.0,4177.0
4,Mandurah,20.0,24.0,36.0,105.0,116.0,251.0,178.0,224.0,185.0,97.0,110.0,148.0,101.0,59.0,55.0,29.0,26.0,18.0,16.0,0.0,1798.0
5,Mandurah - East,11.0,15.0,14.0,74.0,46.0,171.0,101.0,124.0,101.0,70.0,83.0,165.0,118.0,66.0,44.0,25.0,25.0,29.0,12.0,0.0,1294.0
6,Mandurah - North,29.0,27.0,38.0,132.0,120.0,324.0,237.0,288.0,308.0,272.0,269.0,611.0,404.0,252.0,194.0,122.0,101.0,70.0,34.0,3.0,3835.0
7,Mandurah - South,17.0,27.0,21.0,109.0,100.0,349.0,210.0,240.0,217.0,121.0,135.0,221.0,151.0,83.0,67.0,42.0,32.0,18.0,21.0,3.0,2184.0
8,Pinjarra,14.0,29.0,26.0,88.0,81.0,259.0,170.0,172.0,186.0,116.0,111.0,256.0,173.0,102.0,82.0,51.0,49.0,26.0,18.0,4.0,2013.0
9,City Beach,6.0,8.0,8.0,19.0,14.0,34.0,53.0,60.0,74.0,43.0,66.0,100.0,96.0,68.0,157.0,104.0,139.0,164.0,195.0,49.0,1457.0
10,Claremont (WA),7.0,11.0,11.0,16.0,36.0,53.0,56.0,80.0,109.0,86.0,84.0,176.0,132.0,107.0,162.0,118.0,105.0,140.0,155.0,15.0,1659.0
11,Cottesloe,8.0,6.0,4.0,14.0,17.0,46.0,36.0,55.0,65.0,50.0,60.0,140.0,113.0,96.0,152.0,127.0,143.0,179.0,222.0,36.0,1569.0
12,Floreat,6.0,11.0,4.0,11.0,18.0,45.0,50.0,65.0,80.0,60.0,71.0,148.0,144.0,117.0,187.0,168.0,179.0,190.0,185.0,25.0,1764.0
13,Mosman Park - Peppermint Grove,12.0,12.0,11.0,31.0,44.0,76.0,75.0,102.0,93.0,83.0,99.0,182.0,165.0,123.0,193.0,143.0,179.0,176.0,259.0,40.0,2098.0
14,Nedlands - Dalkeith - Crawley,18.0,21.0,16.0,37.0,55.0,103.0,100.0,154.0,163.0,119.0,151.0,307.0,257.0,195.0,326.0,263.0,278.0,361.0,468.0,79.0,3471.0
15,Swanbourne - Mount Claremont,9.0,8.0,3.0,23.0,10.0,47.0,55.0,87.0,95.0,67.0,74.0,170.0,140.0,123.0,198.0,164.0,158.0,182.0,181.0,38.0,1832.0
17,Mount Hawthorn - Leederville,10.0,10.0,12.0,36.0,34.0,88.0,69.0,99.0,95.0,89.0,98.0,306.0,261.0,216.0,229.0,152.0,205.0,161.0,154.0,7.0,2331.0
18,Mount Lawley - Inglewood,18.0,17.0,16.0,57.0,64.0,152.0,151.0,191.0,177.0,175.0,180.0,436.0,323.0,275.0,262.0,189.0,195.0,248.0,236.0,23.0,3385.0
19,North Perth,7.0,4.0,11.0,30.0,25.0,71.0,69.0,79.0,104.0,71.0,76.0,259.0,183.0,143.0,155.0,117.0,120.0,144.0,121.0,3.0,1792.0
20,Perth City,31.0,46.0,30.0,114.0,110.0,212.0,222.0,310.0,295.0,308.0,334.0,774.0,530.0,421.0,461.0,221.0,305.0,240.0,249.0,12.0,5225.0
21,Subiaco - Shenton Park,14.0,21.0,18.0,56.0,44.0,114.0,103.0,192.0,189.0,151.0,171.0,424.0,326.0,244.0,352.0,223.0,238.0,272.0,277.0,20.0,3449.0
