,SA2 Name,Median
0,Dawesville - Bouvard,1584.6774193548388
1,Falcon - Wannanup,1486.9186046511627
2,Greenfields,1192.9347826086957
3,Halls Head - Erskine,1627.840909090909
4,Mandurah,1189.174107142857
5,Mandurah - East,1476.4851485148515
6,Mandurah - North,1882.899628252788
7,Mandurah - South,1272.4654377880183
8,Pinjarra,1475.8064516129032
9,City Beach,3754.7770700636943
10,Claremont (WA),2897.727272727273
11,Cottesloe,3746.7105263157896
12,Floreat,3640.3743315508023
13,Mosman Park - Peppermint Grove,3262.1951219512193
14,Nedlands - Dalkeith - Crawley,3561.3496932515336
15,Swanbourne - Mount Claremont,3513.8888888888887
16,Mount Hawthorn - Leederville,2921.455938697318
17,Mount Lawley - Inglewood,2591.331269349845
18,North Perth,2747.2677595628415
19,Perth City,2388.2428940568475
20,Subiaco - Shenton Park,2849.693251533742
21,Wembley - West Leederville - Glendalough,2468.3179723502303
22,Bassendean - Eden Hill - Ashfield,1966.6666666666667
23,Bayswater - Embleton - Bedford,2201.349431818182
24,Maylands,2134.393063583815
25,Morley,1664.7897897897897
26,Noranda,1846.8045112781956
27,Chidlow,1912.2340425531916
28,Glen Forrest - Darlington,2235.930735930736
29,Helena Valley - Koongamia,2057.5916230366493
30,Mundaring,2066.85393258427
31,Swan View - Greenmount - Midvale,1659.375
32,Ballajura,1798.1060606060605
33,Beechboro,1774.4082840236686
34,Bullsbrook,1927.9891304347825
35,Ellenbrook,2004.2317708333333
36,Gidgegannup,2252.9761904761904
37,Hazelmere - Guildford,2057.9268292682927
38,Lockridge - Kiara,1832.0552147239264
39,Middle Swan - Herne Hill,1639.423076923077
40,Midland - Guildford,1601.3071895424837
41,Stratton - Jane Brook,1869.2307692307693
42,The Vines,2231.578947368421
43,Craigie - Beldon,1910.3107344632767
44,Currambine - Kinross,2250.0
45,Duncraig,2437.269372693727
46,Greenwood - Warwick,1955.9716599190283
47,Heathridge - Connolly,2081.1170212765956
48,Hillarys,2607.6923076923076
49,Iluka - Burns Beach,3047.39336492891
50,Joondalup - Edgewater,2037.3376623376623
51,Kingsley,2224.4565217391305
52,Mullaloo - Kallaroo,2305.4862842892767
53,Ocean Reef,2489.2156862745096
54,Padbury,2056.9908814589667
55,Sorrento - Marmion,2725.840336134454
56,Woodvale,2432.601880877743
57,Balcatta - Hamersley,1828.5864978902953
58,Balga - Mirrabooka,1285.8455882352941
59,Dianella,1967.9383116883116
60,Innaloo - Doubleview,2396.04462474645
61,Karrinyup - Gwelup - Carine,2552.801724137931
62,Nollamara - Westminster,1602.6182432432433
63,Scarborough,2414.0786749482404
64,Stirling - Osborne Park,2153.6458333333335
65,Trigg - North Beach - Watermans Bay,2505.3571428571427
66,Tuart Hill - Joondanna,2000.0
67,Wembley Downs - Churchlands - Woodlands,2641.638225255973
68,Yokine - Coolbinia - Menora,2149.06103286385
69,Alexander Heights - Koondoola,1589.375
70,Butler - Merriwa - Ridgewood,1669.5995145631068
71,Carramar,2063.4588563458856
72,Clarkson,1822.136563876652
73,Girrawheen,1273.8095238095239
