,SA2 Name,1-149,150-299,300-449,450-599,600-799,800-999,"1,000-1,199","1,200-1,399","1,400-1,599","1,600-1,799","1,800-1,999","2,000-2,199","2,200-2,399","2,400-2,599","2,600-2,999","3,000-3,999","4,000-4,999","5,000 and over",Total,Median
0,Dawesville - Bouvard,3.0,13.0,23.0,18.0,31.0,42.0,54.0,72.0,82.0,86.0,72.0,149.0,89.0,63.0,96.0,90.0,38.0,19.0,1040.0,2032.8859060402685
1,Falcon - Wannanup,7.0,13.0,29.0,20.0,38.0,37.0,67.0,76.0,86.0,110.0,75.0,142.0,62.0,44.0,93.0,106.0,29.0,25.0,1059.0,1925.3333333333333
2,Greenfields,7.0,22.0,37.0,34.0,66.0,76.0,101.0,153.0,162.0,167.0,105.0,133.0,40.0,15.0,54.0,50.0,19.0,13.0,1254.0,1562.3456790123457
3,Halls Head - Erskine,28.0,25.0,38.0,35.0,78.0,90.0,117.0,168.0,182.0,245.0,189.0,329.0,143.0,107.0,216.0,214.0,79.0,61.0,2344.0,1976.1904761904761
4,Mandurah,8.0,15.0,22.0,27.0,43.0,40.0,67.0,66.0,93.0,85.0,49.0,57.0,25.0,7.0,28.0,52.0,18.0,9.0,711.0,1546.236559139785
5,Mandurah - East,6.0,11.0,20.0,15.0,29.0,33.0,38.0,47.0,38.0,64.0,58.0,98.0,31.0,33.0,74.0,71.0,17.0,19.0,702.0,1974.1379310344828
6,Mandurah - North,10.0,21.0,32.0,36.0,56.0,78.0,102.0,176.0,213.0,297.0,313.0,499.0,275.0,148.0,295.0,228.0,58.0,32.0,2869.0,2040.4809619238476
7,Mandurah - South,0.0,15.0,38.0,35.0,54.0,60.0,91.0,103.0,117.0,115.0,85.0,137.0,52.0,26.0,66.0,89.0,24.0,23.0,1130.0,1691.304347826087
8,Pinjarra,8.0,14.0,27.0,26.0,54.0,62.0,85.0,104.0,96.0,131.0,100.0,172.0,70.0,46.0,98.0,123.0,34.0,28.0,1278.0,1865.0
9,City Beach,5.0,11.0,13.0,12.0,9.0,16.0,16.0,19.0,15.0,12.0,12.0,52.0,13.0,20.0,14.0,79.0,105.0,156.0,579.0,3645.5696202531644
10,Claremont (WA),5.0,7.0,6.0,10.0,14.0,21.0,30.0,25.0,33.0,27.0,26.0,62.0,23.0,27.0,41.0,90.0,89.0,129.0,665.0,2765.8536585365855
11,Cottesloe,3.0,6.0,14.0,12.0,8.0,17.0,19.0,14.0,20.0,23.0,9.0,59.0,11.0,11.0,12.0,84.0,87.0,221.0,630.0,3922.6190476190477
12,Floreat,5.0,13.0,21.0,10.0,24.0,27.0,27.0,40.0,16.0,28.0,31.0,89.0,28.0,25.0,50.0,192.0,140.0,235.0,1001.0,3348.9583333333335
13,Mosman Park - Peppermint Grove,8.0,3.0,9.0,18.0,19.0,26.0,48.0,36.0,38.0,32.0,17.0,75.0,32.0,33.0,56.0,155.0,121.0,207.0,933.0,3109.6774193548385
14,Nedlands - Dalkeith - Crawley,23.0,15.0,24.0,17.0,32.0,31.0,54.0,32.0,32.0,35.0,14.0,82.0,30.0,36.0,55.0,187.0,168.0,437.0,1304.0,3751.336898395722
15,Swanbourne - Mount Claremont,8.0,4.0,17.0,16.0,21.0,32.0,30.0,30.0,25.0,32.0,13.0,75.0,20.0,29.0,42.0,149.0,127.0,236.0,906.0,3399.3288590604025
16,Mount Hawthorn - Leederville,20.0,6.0,23.0,23.0,29.0,46.0,62.0,83.0,77.0,61.0,44.0,147.0,60.0,64.0,130.0,294.0,158.0,109.0,1436.0,2517.1875
17,Mount Lawley - Inglewood,30.0,14.0,36.0,38.0,57.0,61.0,99.0,133.0,93.0,123.0,86.0,236.0,51.0,90.0,162.0,292.0,209.0,189.0,1999.0,2194.915254237288
18,North Perth,8.0,4.0,11.0,18.0,29.0,29.0,49.0,67.0,59.0,65.0,43.0,108.0,46.0,48.0,103.0,242.0,122.0,74.0,1125.0,2512.5
19,Perth City,18.0,23.0,47.0,27.0,45.0,101.0,113.0,166.0,174.0,233.0,193.0,349.0,151.0,168.0,264.0,433.0,152.0,158.0,2815.0,2153.5816618911176
20,Subiaco - Shenton Park,17.0,17.0,24.0,29.0,40.0,41.0,67.0,72.0,61.0,85.0,51.0,144.0,48.0,66.0,110.0,277.0,186.0,235.0,1570.0,2685.4545454545455
21,Wembley - West Leederville - Glendalough,22.0,11.0,42.0,33.0,64.0,89.0,122.0,144.0,121.0,119.0,110.0,153.0,52.0,68.0,123.0,315.0,215.0,189.0,1992.0,2156.2091503267975
22,Bassendean - Eden Hill - Ashfield,21.0,43.0,50.0,50.0,78.0,102.0,130.0,174.0,138.0,200.0,157.0,297.0,124.0,104.0,198.0,223.0,76.0,37.0,2202.0,1947.1337579617834
