,SA2 Name,2011_entire,2016_entire,2011_aus,2016_aus,2016-2011_change_entire,2016-2011_change_aus,2011_overseas,2016_overseas,2016-2011_change_overseas,2011_overseas_percentage,2016_overseas_percentage,2016-2011_overseas_increase_percentage
0,Dawesville - Bouvard,5277.0,7088.0,3714.0,4779.0,1811.0,1065.0,1563.0,2309.0,746.0,0.2961910176236498,0.32576185101580135,0.4772872680742162
1,Falcon - Wannanup,7028.0,8782.0,5036.0,6070.0,1754.0,1034.0,1992.0,2712.0,720.0,0.28343767785998863,0.30881348212252335,0.3614457831325302
2,Greenfields,9693.0,9855.0,7072.0,6940.0,162.0,-132.0,2621.0,2915.0,294.0,0.2704013205405963,0.29578893962455605,0.11217092712705079
3,Halls Head - Erskine,16264.0,18529.0,10879.0,11886.0,2265.0,1007.0,5385.0,6643.0,1258.0,0.33109936055091,0.35851907820173784,0.23361188486536677
4,Mandurah,8558.0,9090.0,5631.0,5669.0,532.0,38.0,2927.0,3421.0,494.0,0.3420191633559243,0.3763476347634763,0.1687734882131875
5,Mandurah - East,4642.0,5821.0,3353.0,4245.0,1179.0,892.0,1289.0,1576.0,287.0,0.27768203360620425,0.2707438584435664,0.2226532195500388
6,Mandurah - North,12002.0,17782.0,7754.0,11165.0,5780.0,3411.0,4248.0,6617.0,2369.0,0.35394100983169474,0.3721178720053987,0.5576741996233521
7,Mandurah - South,8877.0,10171.0,6148.0,6721.0,1294.0,573.0,2729.0,3450.0,721.0,0.3074236791708911,0.33919968538000195,0.2641993404177354
8,Pinjarra,7711.0,9628.0,5867.0,7029.0,1917.0,1162.0,1844.0,2599.0,755.0,0.23913889249124626,0.2699418363107603,0.40943600867678964
9,City Beach,6293.0,6609.0,4132.0,4344.0,316.0,212.0,2161.0,2265.0,104.0,0.3433974257111076,0.3427144802541988,0.04812586765386406
10,Claremont (WA),7532.0,8148.0,4563.0,4961.0,616.0,398.0,2969.0,3187.0,218.0,0.39418481147105683,0.3911389297987236,0.07342539575614682
11,Cottesloe,7486.0,7375.0,4904.0,5042.0,-111.0,138.0,2582.0,2333.0,-249.0,0.34491049959925196,0.31633898305084746,-0.09643687064291251
12,Floreat,7152.0,7899.0,5183.0,5584.0,747.0,401.0,1969.0,2315.0,346.0,0.2753076062639821,0.29307507279402456,0.17572371762315897
13,Mosman Park - Peppermint Grove,10112.0,10395.0,6220.0,6321.0,283.0,101.0,3892.0,4074.0,182.0,0.3848892405063291,0.39191919191919194,0.046762589928057485
14,Nedlands - Dalkeith - Crawley,18736.0,18534.0,10193.0,10299.0,-202.0,106.0,8543.0,8235.0,-308.0,0.455967122117848,0.4443185496924571,-0.03605290881423384
15,Swanbourne - Mount Claremont,8065.0,8681.0,5408.0,5750.0,616.0,342.0,2657.0,2931.0,274.0,0.3294482331060136,0.33763391314364705,0.10312382386149799
17,Mount Hawthorn - Leederville,10119.0,10708.0,6339.0,7067.0,589.0,728.0,3780.0,3641.0,-139.0,0.37355469908093686,0.3400261486738887,-0.03677248677248679
18,Mount Lawley - Inglewood,16325.0,16517.0,9925.0,10124.0,192.0,199.0,6400.0,6393.0,-7.0,0.39203675344563554,0.38705576073136766,-0.0010937500000000044
19,North Perth,8465.0,8821.0,5085.0,5458.0,356.0,373.0,3380.0,3363.0,-17.0,0.3992911990549321,0.3812492914635529,-0.005029585798816516
20,Perth City,33924.0,31293.0,12009.0,10752.0,-2631.0,-1257.0,21915.0,20541.0,-1374.0,0.6460028298549699,0.6564087815166331,-0.06269678302532511
21,Subiaco - Shenton Park,15715.0,16465.0,9082.0,9401.0,750.0,319.0,6633.0,7064.0,431.0,0.42208081450843143,0.4290312784694807,0.06497813960500531
22,Wembley - West Leederville - Glendalough,16908.0,17849.0,9436.0,9696.0,941.0,260.0,7472.0,8153.0,681.0,0.44192098414951503,0.4567762899882346,0.09114025695931471
23,Bassendean - Eden Hill - Ashfield,14228.0,15092.0,9452.0,9809.0,864.0,357.0,4776.0,5283.0,507.0,0.3356761315715491,0.3500530082162735,0.10615577889447225
24,Bayswater - Embleton - Bedford,21089.0,22958.0,12943.0,13964.0,1869.0,1021.0,8146.0,8994.0,848.0,0.3862677225093651,0.39175886401254467,0.1041001718634913
25,Maylands,12249.0,12714.0,5899.0,6265.0,465.0,366.0,6350.0,6449.0,99.0,0.5184096660951915,0.5072361176655655,0.015590551181102308
26,Morley,20029.0,21712.0,10873.0,10910.0,1683.0,37.0,9156.0,10802.0,1646.0,0.45713715113086023,0.4975128960943257,0.17977282656181748
27,Noranda,8043.0,7979.0,4469.0,4318.0,-64.0,-151.0,3574.0,3661.0,87.0,0.4443615566330971,0.45882942724652215,0.0243424734191382
28,Chidlow,3969.0,4715.0,1881.0,3421.0,746.0,1540.0,2088.0,1294.0,-794.0,0.5260770975056689,0.27444326617179216,-0.38026819923371646
29,Glen Forrest - Darlington,6880.0,7054.0,4521.0,4772.0,174.0,251.0,2359.0,2282.0,-77.0,0.3428779069767442,0.32350439466969094,-0.03264094955489616
