,SA2 Name,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Total,Median
0,Dawesville - Bouvard,0.0,3.0,6.0,0.0,18.0,10.0,30.0,15.0,21.0,13.0,47.0,32.0,67.0,37.0,50.0,6.0,58.0,17.0,4.0,0.0,0.0,3.0,437.0,358.95522388059703
1,Falcon - Wannanup,0.0,0.0,3.0,9.0,22.0,16.0,43.0,23.0,71.0,58.0,116.0,63.0,126.0,59.0,83.0,26.0,71.0,14.0,3.0,0.0,0.0,3.0,809.0,342.46031746031747
2,Greenfields,6.0,15.0,48.0,13.0,41.0,25.0,46.0,28.0,79.0,82.0,192.0,110.0,109.0,34.0,14.0,7.0,7.0,0.0,3.0,0.0,0.0,0.0,859.0,306.1197916666667
3,Halls Head - Erskine,3.0,6.0,18.0,12.0,31.0,15.0,32.0,32.0,82.0,75.0,175.0,136.0,247.0,139.0,198.0,58.0,146.0,21.0,9.0,0.0,0.0,3.0,1438.0,360.3744939271255
4,Mandurah,13.0,23.0,115.0,48.0,94.0,72.0,112.0,126.0,237.0,219.0,344.0,137.0,151.0,43.0,60.0,25.0,80.0,27.0,7.0,4.0,0.0,11.0,1948.0,290.35388127853884
5,Mandurah - East,7.0,0.0,5.0,8.0,18.0,6.0,11.0,16.0,38.0,27.0,62.0,35.0,80.0,34.0,40.0,14.0,30.0,7.0,0.0,0.0,0.0,0.0,438.0,340.35714285714283
6,Mandurah - North,0.0,8.0,12.0,10.0,44.0,14.0,44.0,30.0,38.0,34.0,121.0,88.0,228.0,191.0,243.0,65.0,97.0,7.0,4.0,0.0,0.0,0.0,1278.0,371.54605263157896
7,Mandurah - South,7.0,20.0,60.0,47.0,76.0,39.0,77.0,40.0,110.0,78.0,168.0,86.0,128.0,89.0,62.0,14.0,30.0,12.0,3.0,3.0,0.0,4.0,1153.0,303.42261904761904
8,Pinjarra,9.0,4.0,21.0,12.0,45.0,35.0,56.0,22.0,63.0,54.0,93.0,36.0,102.0,40.0,35.0,6.0,20.0,10.0,0.0,0.0,0.0,3.0,666.0,303.36021505376345
9,City Beach,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,3.0,23.0,39.0,33.0,37.0,25.0,70.0,247.0,774.3243243243244
10,Claremont (WA),4.0,8.0,33.0,12.0,18.0,14.0,19.0,10.0,30.0,25.0,61.0,31.0,51.0,48.0,65.0,28.0,167.0,104.0,67.0,54.0,33.0,78.0,960.0,464.07185628742513
11,Cottesloe,0.0,0.0,7.0,0.0,5.0,0.0,14.0,8.0,19.0,12.0,28.0,13.0,25.0,18.0,38.0,20.0,148.0,91.0,74.0,64.0,41.0,139.0,764.0,580.2197802197802
12,Floreat,3.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,9.0,3.0,7.0,3.0,11.0,0.0,53.0,63.0,42.0,37.0,19.0,33.0,301.0,619.8412698412699
13,Mosman Park - Peppermint Grove,10.0,18.0,72.0,24.0,38.0,19.0,42.0,57.0,113.0,67.0,121.0,42.0,80.0,50.0,58.0,25.0,93.0,72.0,45.0,55.0,27.0,95.0,1223.0,343.45238095238096
14,Nedlands - Dalkeith - Crawley,3.0,13.0,15.0,11.0,30.0,25.0,40.0,17.0,67.0,62.0,104.0,61.0,96.0,80.0,134.0,48.0,306.0,213.0,127.0,116.0,72.0,185.0,1825.0,484.9673202614379
15,Swanbourne - Mount Claremont,9.0,12.0,49.0,7.0,14.0,6.0,11.0,20.0,35.0,3.0,23.0,4.0,16.0,3.0,12.0,3.0,37.0,68.0,33.0,41.0,23.0,86.0,515.0,533.7837837837837
16,Mount Hawthorn - Leederville,7.0,13.0,37.0,22.0,21.0,17.0,20.0,16.0,26.0,29.0,58.0,22.0,75.0,53.0,141.0,59.0,375.0,160.0,58.0,23.0,12.0,8.0,1252.0,452.8
17,Mount Lawley - Inglewood,18.0,24.0,57.0,24.0,81.0,25.0,53.0,51.0,148.0,138.0,224.0,119.0,210.0,122.0,181.0,65.0,330.0,163.0,84.0,47.0,20.0,19.0,2203.0,366.6666666666667
18,North Perth,9.0,13.0,39.0,11.0,19.0,11.0,33.0,13.0,54.0,27.0,58.0,18.0,63.0,43.0,90.0,34.0,253.0,134.0,52.0,25.0,4.0,12.0,1015.0,430.1470588235294
19,Perth City,61.0,64.0,278.0,84.0,166.0,80.0,152.0,121.0,271.0,244.0,366.0,250.0,534.0,444.0,806.0,377.0,1939.0,940.0,372.0,193.0,85.0,149.0,7976.0,429.4761273209549
20,Subiaco - Shenton Park,21.0,41.0,171.0,37.0,62.0,31.0,61.0,57.0,112.0,84.0,152.0,98.0,122.0,96.0,176.0,81.0,474.0,345.0,193.0,106.0,69.0,106.0,2695.0,433.3333333333333
21,Wembley - West Leederville - Glendalough,17.0,19.0,77.0,36.0,50.0,42.0,95.0,101.0,279.0,257.0,408.0,162.0,188.0,97.0,154.0,37.0,295.0,151.0,106.0,72.0,30.0,43.0,2716.0,323.62132352941177
22,Bassendean - Eden Hill - Ashfield,23.0,29.0,117.0,35.0,69.0,41.0,60.0,22.0,61.0,47.0,176.0,96.0,214.0,112.0,199.0,48.0,184.0,30.0,8.0,3.0,3.0,3.0,1580.0,351.69392523364485
23,Bayswater - Embleton - Bedford,29.0,67.0,129.0,73.0,83.0,57.0,94.0,35.0,92.0,78.0,192.0,111.0,258.0,188.0,259.0,107.0,424.0,113.0,19.0,3.0,6.0,5.0,2422.0,366.6182170542636
24,Maylands,21.0,35.0,158.0,36.0,52.0,43.0,166.0,106.0,283.0,192.0,355.0,186.0,239.0,124.0,180.0,77.0,299.0,96.0,19.0,9.0,3.0,13.0,2692.0,317.9225352112676
25,Morley,14.0,17.0,26.0,25.0,42.0,19.0,55.0,32.0,49.0,46.0,198.0,101.0,284.0,206.0,356.0,116.0,429.0,52.0,5.0,3.0,0.0,0.0,2075.0,390.77669902912623
26,Noranda,3.0,3.0,3.0,0.0,8.0,4.0,9.0,7.0,9.0,17.0,52.0,24.0,36.0,31.0,40.0,24.0,91.0,18.0,0.0,0.0,0.0,0.0,379.0,387.0967741935484
27,Glen Forrest - Darlington,0.0,0.0,0.0,3.0,5.0,0.0,3.0,4.0,3.0,0.0,14.0,11.0,13.0,13.0,29.0,11.0,55.0,14.0,8.0,0.0,0.0,0.0,186.0,421.12068965517244
28,Helena Valley - Koongamia,5.0,9.0,39.0,16.0,15.0,7.0,5.0,3.0,10.0,11.0,25.0,12.0,33.0,18.0,29.0,7.0,41.0,16.0,4.0,0.0,0.0,0.0,305.0,341.6666666666667
29,Mundaring,3.0,3.0,11.0,11.0,13.0,11.0,9.0,7.0,18.0,6.0,26.0,23.0,41.0,23.0,54.0,25.0,87.0,36.0,7.0,0.0,4.0,0.0,418.0,402.0833333333333
30,Swan View - Greenmount - Midvale,25.0,15.0,70.0,28.0,36.0,21.0,39.0,15.0,56.0,36.0,110.0,67.0,130.0,92.0,82.0,20.0,70.0,8.0,4.0,3.0,0.0,3.0,930.0,330.410447761194
31,Ballajura,4.0,13.0,65.0,21.0,35.0,22.0,36.0,18.0,28.0,14.0,65.0,38.0,126.0,89.0,171.0,62.0,167.0,19.0,7.0,9.0,3.0,0.0,1012.0,381.03932584269666
32,Beechboro,12.0,17.0,56.0,24.0,44.0,22.0,30.0,10.0,33.0,22.0,92.0,51.0,175.0,112.0,165.0,42.0,174.0,12.0,6.0,0.0,0.0,4.0,1103.0,369.85714285714283
33,Bullsbrook,5.0,0.0,0.0,0.0,3.0,3.0,13.0,0.0,3.0,11.0,28.0,21.0,27.0,18.0,24.0,3.0,21.0,15.0,5.0,0.0,0.0,0.0,200.0,362.5
34,Ellenbrook,12.0,16.0,49.0,19.0,52.0,41.0,53.0,33.0,67.0,47.0,114.0,128.0,338.0,247.0,398.0,145.0,424.0,75.0,13.0,4.0,7.0,6.0,2288.0,392.7631578947368
35,Hazelmere - Guildford,0.0,3.0,3.0,3.0,4.0,9.0,8.0,3.0,9.0,8.0,24.0,9.0,31.0,18.0,45.0,19.0,41.0,9.0,5.0,3.0,0.0,3.0,257.0,395.8333333333333
