,SA2 Name,Median
0,Dawesville - Bouvard,358.95522388059703
1,Falcon - Wannanup,342.46031746031747
2,Greenfields,306.1197916666667
3,Halls Head - Erskine,360.3744939271255
4,Mandurah,290.35388127853884
5,Mandurah - East,340.35714285714283
6,Mandurah - North,371.54605263157896
7,Mandurah - South,303.42261904761904
8,Pinjarra,303.36021505376345
9,City Beach,774.3243243243244
10,Claremont (WA),464.07185628742513
11,Cottesloe,580.2197802197802
12,Floreat,619.8412698412699
13,Mosman Park - Peppermint Grove,343.45238095238096
14,Nedlands - Dalkeith - Crawley,484.9673202614379
15,Swanbourne - Mount Claremont,533.7837837837837
16,Mount Hawthorn - Leederville,452.8
17,Mount Lawley - Inglewood,366.6666666666667
18,North Perth,430.1470588235294
19,Perth City,429.4761273209549
20,Subiaco - Shenton Park,433.3333333333333
21,Wembley - West Leederville - Glendalough,323.62132352941177
22,Bassendean - Eden Hill - Ashfield,351.69392523364485
23,Bayswater - Embleton - Bedford,366.6182170542636
24,Maylands,317.9225352112676
25,Morley,390.77669902912623
26,Noranda,387.0967741935484
27,Glen Forrest - Darlington,421.12068965517244
28,Helena Valley - Koongamia,341.6666666666667
29,Mundaring,402.0833333333333
30,Swan View - Greenmount - Midvale,330.410447761194
31,Ballajura,381.03932584269666
32,Beechboro,369.85714285714283
33,Bullsbrook,362.5
34,Ellenbrook,392.7631578947368
35,Hazelmere - Guildford,395.8333333333333
36,Lockridge - Kiara,338.7019230769231
37,Middle Swan - Herne Hill,356.25
38,Midland - Guildford,328.4156976744186
39,Stratton - Jane Brook,363.6904761904762
40,The Vines,412.0098039215686
41,Craigie - Beldon,381.14224137931035
42,Currambine - Kinross,420.7880434782609
43,Duncraig,471.4646464646465
44,Greenwood - Warwick,410.2739726027397
45,Heathridge - Connolly,395.10309278350513
46,Hillarys,514.453125
47,Iluka - Burns Beach,658.3333333333334
48,Joondalup - Edgewater,394.86486486486484
49,Kingsley,432.258064516129
50,Mullaloo - Kallaroo,464.3884892086331
51,Ocean Reef,533.8383838383838
52,Padbury,405.38990825688074
53,Sorrento - Marmion,512.9213483146067
54,Woodvale,498.0314960629921
55,Balcatta - Hamersley,369.0843621399177
56,Balga - Mirrabooka,337.74131274131275
57,Dianella,361.05212355212353
58,Innaloo - Doubleview,411.8473895582329
59,Karrinyup - Gwelup - Carine,459.8837209302326
60,Nollamara - Westminster,364.79007633587787
61,Scarborough,413.86054421768705
62,Stirling - Osborne Park,335.22727272727275
63,Trigg - North Beach - Watermans Bay,401.5625
64,Tuart Hill - Joondanna,345.78125
65,Wembley Downs - Churchlands - Woodlands,424.67105263157896
66,Yokine - Coolbinia - Menora,351.28205128205127
67,Alexander Heights - Koondoola,354.4172932330827
68,Butler - Merriwa - Ridgewood,362.1757075471698
69,Carramar,401.6216216216216
70,Clarkson,378.5175879396985
71,Girrawheen,321.6216216216216
72,Madeley - Darch - Landsdale,473.23462414578586
73,Marangaroo,373.5526315789474
74,Mindarie - Quinns Rocks - Jindalee,417.9447852760736
75,Tapping - Ashby - Sinagra,456.51465798045604
76,Wanneroo,401.8488745980707
77,Alkimos - Eglinton,365.5448717948718
78,Two Rocks,336.9047619047619
79,Yanchep,360.2355072463768
80,Armadale - Wungong - Brookdale,305.80645161290323
81,Camillo - Champion Lakes,313.45238095238096
82,Forrestdale - Harrisdale - Piara Waters,425.7142857142857
83,Kelmscott,316.85022026431716
84,Mount Nasura - Mount Richon - Bedfordale,360.4166666666667
85,Roleystone,366.6666666666667
86,Seville Grove,351.64728682170545
87,Belmont - Ascot - Redcliffe,366.1509900990099
88,East Victoria Park - Carlisle,371.41434262948206
89,Rivervale - Kewdale - Cloverdale,362.32358870967744
90,Victoria Park - Lathlain - Burswood,372.8670634920635
91,Bentley - Wilson - St James,342.13286713286715
92,Canning Vale - West,489.61038961038963
93,Cannington - Queens Park,371.1666666666667
94,Parkwood - Ferndale - Lynwood,358.70786516853934
95,Riverton - Shelley - Rossmoyne,408.68794326241135
96,Willetton,418.7150837988827
97,Beckenham - Kenwick - Langford,343.2218309859155
98,Canning Vale - East,446.85114503816794
99,Gosnells,317.4191374663073
100,Huntingdale - Southern River,409.57142857142856
101,Maddington - Orange Grove - Martin,318.85838150289015
102,Thornlie,361.80555555555554
103,Forrestfield - Wattle Grove,379.6875
104,High Wycombe,396.875
105,Kalamunda - Maida Vale - Gooseberry Hill,391.54411764705884
106,Lesmurdie - Bickley - Carmel,368.0232558139535
107,Byford,400.0
108,Mundijong,371.19565217391306
109,Serpentine - Jarrahdale,314.1666666666667
110,Como,374.44029850746267
111,Manning - Waterford,359.1145833333333
112,South Perth - Kensington,398.18548387096774
113,Banjup,444.5238095238095
114,Coogee,423.7980769230769
115,Coolbellup,325.0
116,Hamilton Hill,330.3779069767442
117,North Coogee,533.8235294117648
118,South Lake - Cockburn Central,381.4130434782609
119,Spearwood,359.4145569620253
120,Success - Hammond Park,423.52941176470586
121,Yangebup,363.22463768115944
122,Beeliar - Wattleup,405.8641975308642
123,East Fremantle,418.4895833333333
124,Fremantle,379.92957746478874
125,Fremantle - South,357.8125
126,Bertram - Wellard (West),372.98034934497815
127,Calista,303.2303370786517
128,Parmelia - Orelia,294.4047619047619
129,Casuarina - Wandi,406.61764705882354
130,Applecross - Ardross,489.3665158371041
131,Bateman,455.6818181818182
132,Bicton - Palmyra,375.4120879120879
133,Booragoon,419.87179487179486
134,Bull Creek,432.3529411764706
135,Leeming,472.0
136,Melville,419.30970149253733
137,Murdoch - Kardinya,423.45360824742266
138,Willagee,278.125
139,Winthrop,575.0
140,Baldivis,390.625
141,Cooloongup,315.4191616766467
142,Port Kennedy,373.28680203045684
143,Rockingham,305.3135888501742
144,Safety Bay - Shoalwater,314.10614525139664
145,Singleton - Golden Bay - Secret Harbour,391.1585365853659
146,Waikiki,350.2906976744186
147,Warnbro,339.3203883495146
