,SA2 Name,unoccupied_rate
0,Dawesville - Bouvard,0.26353591160220996
1,Falcon - Wannanup,0.3145567169957414
2,Greenfields,0.11869240895129443
3,Halls Head - Erskine,0.1988199933207169
4,Mandurah,0.2843919565911267
5,Mandurah - East,0.24448705656759348
6,Mandurah - North,0.12356402353600449
7,Mandurah - South,0.17343599615014438
8,Pinjarra,0.09936984973339796
9,City Beach,0.09087332808811958
10,Claremont (WA),0.1314508276533593
11,Cottesloe,0.17188389299943085
12,Floreat,0.07436260623229461
13,Mosman Park - Peppermint Grove,0.1199743370402053
14,Nedlands - Dalkeith - Crawley,0.11497476163768929
15,Swanbourne - Mount Claremont,0.12308564946114578
16,Kings Park (WA),0.0
17,Mount Hawthorn - Leederville,0.10443037974683544
18,Mount Lawley - Inglewood,0.10426540284360189
19,North Perth,0.13346228239845262
20,Perth City,0.16880819851219891
21,Subiaco - Shenton Park,0.1336866902237927
22,Wembley - West Leederville - Glendalough,0.10156156872094409
23,Bassendean - Eden Hill - Ashfield,0.09686859818554287
24,Bayswater - Embleton - Bedford,0.1015372564378733
25,Maylands,0.17095986984815617
26,Morley,0.09767141009055627
27,Noranda,0.07723833543505675
28,Chidlow,0.07571801566579635
29,Glen Forrest - Darlington,0.07181522915914833
30,Helena Valley - Koongamia,0.08972046889089269
31,Malmalling - Reservoir,0.0
32,Mundaring,0.07277465918203689
33,Swan View - Greenmount - Midvale,0.09434675742106258
34,Ballajura,0.05942995755003032
35,Beechboro,0.06957473420888055
36,Bullsbrook,0.07012987012987013
37,Ellenbrook,0.07362150603329769
38,Gidgegannup,0.08389585342333655
39,Hazelmere - Guildford,0.07679465776293823
40,Lockridge - Kiara,0.08876854250058865
41,Malaga,0.0
42,Middle Swan - Herne Hill,0.09978586723768737
43,Midland - Guildford,0.1346852879280658
44,Stratton - Jane Brook,0.06600534147272033
45,The Vines,0.09357354127453617
46,Craigie - Beldon,0.09333333333333334
47,Currambine - Kinross,0.07608263806118395
48,Duncraig,0.0676836752586358
49,Greenwood - Warwick,0.06871345029239766
50,Heathridge - Connolly,0.08440797186400938
51,Hillarys,0.0887760038703435
52,Iluka - Burns Beach,0.05761888233252343
53,Joondalup - Edgewater,0.102506091193874
54,Kingsley,0.05927682276229994
55,Mullaloo - Kallaroo,0.07854007854007854
56,Ocean Reef,0.07339130434782609
57,Padbury,0.08452763966071951
58,Sorrento - Marmion,0.09010646585302519
